AÑO,RENDIMIENTO - KG X HA,STATION_ID,lluvia_emergencia,lluvia_encanazon,lluvia_espigazon,lluvia_floracion,lluvia_llenado_de_grano,lluvia_macollaje,lluvia_siembra,tmax_emergencia,tmax_encanazon,tmax_espigazon,tmax_floracion,tmax_llenado_de_grano,tmax_macollaje,tmax_siembra,tmin_emergencia,tmin_encanazon,tmin_espigazon,tmin_floracion,tmin_llenado_de_grano,tmin_macollaje,tmin_siembra,suelo_ind_prod,suelo_profundidad,suelo_textura,suelo_drenaje,suelo_textura_encoded,suelo_drenaje_encoded,Rinde_Tendencia,Rinde_Detrended
1990,2201.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2680.6022727273084,-479.60227272730845
1990,2900.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2634.369318181911,265.6306818180892
1990,1500.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,1573.2897727273084,-73.28977272730845
1990,1057.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2225.7386363636615,-1168.7386363636615
1990,2900.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2748.7159090909845,151.2840909090155
1990,2201.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2130.255681818293,70.74431818170706
1990,1600.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,1946.789772727323,-346.789772727323
1990,2301.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2511.8693181818817,-210.86931818188168
1990,1350.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,1279.3068181818417,70.69318181815834
1990,2100.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2462.1079545454995,-362.1079545454995
1990,1800.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,1961.4715909092047,-161.47159090920468
1990,1902.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2264.102272727352,-362.1022727273521
1990,2300.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2319.1534090909263,-19.15340909092629
1990,2900.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2738.8181818182493,161.1818181817507
1990,1857.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,1757.8977272728225,99.10227272717748
1990,1902.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2245.94318181822,-343.9431818182202
1990,2204.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2004.3465909092047,199.65340909079532
1990,2400.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2476.6818181818817,-76.68181818188168
1990,2200.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,1895.3068181819108,304.6931818180892
1990,2308.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2363.068181818293,-55.06818181829294
1990,1611.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,1745.4027651392971,-134.40276513929712
1990,2614.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2292.642045454675,321.3579545453249
1990,2000.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2329.363636363676,-329.36363636367605
1990,2900.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2723.215909090941,176.78409090905916
1990,2399.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2231.829545454646,167.170454545354
1990,1300.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,1167.232954545514,132.76704545448592
1990,1600.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,1724.454545454617,-124.45454545461689
1990,1501.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,1632.3806818182638,-131.38068181826384
1990,2374.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2186.335227272757,187.66477272724296
1990,2300.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2355.2613636363967,-55.26136363639671
1990,2000.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37,34.550898203592816,77.87949101796407,Franco limosa,Bien drenado,1.0,1.0,2023.6875000000582,-23.687500000058208
