STATION,AÑO,lluvia_emergencia,lluvia_encanazon,lluvia_espigazon,lluvia_floracion,lluvia_llenado_de_grano,lluvia_macollaje,lluvia_siembra,tmax_emergencia,tmax_encanazon,tmax_espigazon,tmax_floracion,tmax_llenado_de_grano,tmax_macollaje,tmax_siembra,tmin_emergencia,tmin_encanazon,tmin_espigazon,tmin_floracion,tmin_llenado_de_grano,tmin_macollaje,tmin_siembra
AR000087257,2000,3.5,3.5,12.9,463.0,175.0,3.0,0.3,19.468627450980392,28.355,28.181818181818183,26.27,27.845,24.126666666666665,18.365000000000002,4.366666666666667,13.569999999999999,15.509090909090908,15.5,14.790000000000001,8.956666666666667,6.640000000000001
AR000087257,2001,1.3,0.3,0.0,0.0,6.1,11.2,0.8,22.870588235294118,23.93,28.4,27.169999999999998,28.066666666666666,21.36,18.95,8.084313725490196,13.855,15.5,15.1,16.442105263157895,10.76,5.945
AR000087257,2002,5.8,41.1,18.8,28.1,200.2,91.2,12.0,22.666666666666668,28.85263157894737,24.827272727272728,27.35,29.931578947368422,24.903333333333332,14.319999999999999,7.76,16.405,12.545454545454545,12.440000000000001,18.305,9.016666666666667,5.74
AR000087257,2003,28.3,33.8,57.9,8.9,83.6,13.3,0.0,19.04313725490196,27.755000000000003,30.20909090909091,28.119999999999997,31.55,25.42413793103448,20.525,5.298039215686274,13.98,13.781818181818181,12.01,16.485,9.15,12.275
AR000087257,2004,45.0,18.1,20.1,19.0,19.1,48.8,9.6,22.668181818181818,30.15,31.375,31.32,30.08181818181818,26.7,21.163636363636364,7.310204081632653,12.616666666666667,12.600000000000001,13.762500000000001,16.22222222222222,10.195652173913043,8.988235294117647
AR000087257,2005,33.0,0.3,36.3,1.0,71.9,0.3,108.69999999999999,22.170833333333334,30.314285714285713,29.26,28.5,31.41818181818182,24.46666666666667,20.355555555555554,7.347916666666666,10.42,11.68,13.033333333333333,17.40625,6.713793103448276,8.494736842105263
AR000087257,2006,15.1,45.9,25.1,23.1,47.0,0.0,5.1,22.4,30.525,30.400000000000002,26.233333333333334,34.483333333333334,27.38,23.52,6.536170212765957,12.983333333333333,16.48,14.530000000000001,16.584615384615383,8.242307692307692,8.447368421052632
AR000087257,2007,3.3,23.1,67.80000000000001,30.7,15.3,74.1,8.6,19.099999999999998,27.639999999999997,31.24,29.4,31.862499999999997,24.741666666666664,15.86923076923077,2.52,13.899999999999999,16.369999999999997,13.62857142857143,14.283333333333335,10.468,3.9444444444444446
AR000087257,2008,0.8,1.1,7.1,16.5,0.0,104.6,0.0,25.12307692307692,26.925,27.9,31.450000000000003,31.772727272727273,26.333333333333332,20.272727272727273,7.963636363636363,14.253333333333334,16.475,15.933333333333332,17.023076923076925,8.792,6.994736842105263
AR000087257,2009,11.9,30.0,36.1,3.3,152.9,28.2,0.0,23.304166666666664,29.933333333333334,29.99265151515151,30.228448275862068,31.697135191806243,23.866666666666667,21.25,6.930952380952381,11.492857142857144,17.025,17.53333333333333,20.5125,9.04782608695652,4.876470588235295
AR000087257,2010,0.0,1.0,3.8,0.0,64.8,27.6,1.0,20.64782608695652,27.025,32.03333333333333,36.1,32.214285714285715,24.625,21.8,4.306818181818182,11.1,12.28,14.733333333333333,15.341176470588236,10.355172413793104,8.376470588235295
AR000087257,2011,17.2,69.4,43.800000000000004,10.9,75.8,9.1,26.200000000000003,20.38095238095238,27.7375,27.9,33.65,30.488888888888887,27.700000000000003,16.0875,6.891836734693877,13.342105263157896,14.236363636363636,17.36,16.134999999999998,9.625,2.38
AR000087257,2012,1.0,33.3,7.1,42.4,62.2,17.0,0.0,21.7,28.875,30.0,36.6,33.760000000000005,27.758333333333336,22.144444444444446,5.716,15.084999999999999,16.581818181818182,17.8375,16.86,11.803448275862069,6.38421052631579
AR000087257,2013,2.8,0.0,32.3,84.4,61.8,27.200000000000003,2.3,21.978947368421053,30.6125,34.17999999999999,29.860000000000003,31.542857142857144,27.318181818181817,21.15,4.96304347826087,13.589473684210526,15.97272727272727,16.811111111111114,16.7875,10.7,6.247368421052632
AR000087257,2014,0.5,56.599999999999994,0.3,24.200000000000003,312.9,76.9,0.0,23.080000000000002,30.7625,34.916666666666664,28.95,32.955555555555556,28.608333333333334,20.43,7.702000000000001,14.9,18.85,15.222222222222221,16.66111111111111,11.62857142857143,6.08
AR000087257,2015,73.0,6.5,30.5,32.3,128.6,0.0,2.0,23.070833333333336,27.428571428571427,28.1875,26.95,29.95555555555556,26.181818181818183,21.472727272727273,9.398,11.633333333333333,15.2,14.569999999999999,16.645,10.831034482758621,8.07
AR000087257,2016,1.6,81.8,29.700000000000003,0.0,55.4,15.4,27.0,22.099999999999998,26.927272727272726,23.7,31.380000000000003,31.875,26.154545454545453,17.554545454545455,6.778,13.635,12.91,15.3,15.778947368421052,9.275862068965518,6.066666666666666
AR000087257,2017,36.7,13.4,11.9,36.2,34.1,80.3,12.700000000000001,24.377272727272725,26.366666666666667,29.375,28.700000000000003,32.228571428571435,22.9375,22.566666666666666,9.346666666666668,12.926315789473684,13.75,15.155555555555557,14.436842105263159,11.632142857142856,10.71875
AR000087257,2018,25.5,6.1,19.1,0.0,0.0,17.6,1.0,19.143478260869564,28.622222222222224,27.95,32.4,31.43,27.506666666666668,18.58888888888889,4.906000000000001,12.975,15.80909090909091,18.322222222222223,16.3125,14.014285714285714,7.790000000000001
AR000087257,2019,33.1,33.7,0.0,21.1,60.2,39.1,0.0,21.761904761904763,25.085714285714285,29.366666666666664,32.5,33.544444444444444,24.2,20.414285714285715,7.260869565217392,13.700000000000001,14.73,17.72222222222222,18.083333333333332,9.45,5.563157894736842
AR000087257,2020,1.0,18.0,11.9,2.0,74.1,23.1,0.0,23.208695652173912,27.616666666666664,30.32,31.5,32.22,25.78333333333333,18.788888888888888,6.072916666666667,14.299999999999999,12.690000000000001,14.52,17.336842105263155,9.913793103448276,4.75
AR000087257,2021,4.0,6.6,1.0,85.7,106.2,22.0,0.0,22.23157894736842,28.4,36.45,27.1,32.98571428571429,27.72307692307692,20.142857142857142,5.7,10.333333333333334,15.927272727272726,15.5,15.757894736842104,11.410714285714286,4.8
AR000087270,1990,19.54,83.98,152.79,0.31,72.86,7.6899999999999995,32.74,46.06666666666667,53.7675,55.75454545454545,52.410000000000004,58.48,46.16833333333333,40.972500000000004,28.19607843137255,38.8075,43.377272727272725,40.910000000000004,44.864999999999995,30.975,29.47
AR000087270,1991,51.6,115.0,22.9,30.5,120.19999999999999,72.4,33.0,20.66862745098039,24.825,26.972727272727273,26.25,28.25,24.333333333333332,18.96,10.001960784313725,12.205,17.5,15.830000000000002,15.969999999999999,14.360000000000001,8.095
