PROVINCIA,DEPARTAMENTO,STATION_ID
Buenos Aires,General Lavalle,AR000087692
Córdoba,San Alberto,AR000087344
Córdoba,San Javier,AR000087344
Entre Ríos,Federación,AR000000004
Entre Ríos,Feliciano,AR000000004
Santa Fe,Garay,AR000087257
Buenos Aires,Marcos Paz,AR000087692
Córdoba,Río Seco,AR000087344
Córdoba,Ischilín,AR000087344
La Pampa,Puelén,AR000087623
Entre Ríos,San Salvador,AR000000004
Buenos Aires,Tordillo,AR000087692
Buenos Aires,Brandsen,AR000087692
Buenos Aires,General Paz,AR000087692
Buenos Aires,Magdalena,AR000087692
Buenos Aires,Punta Indio,AR000087692
Buenos Aires,San Vicente,AR000087692
Buenos Aires,La Plata,AR000087692
Córdoba,Cruz del Eje,AR000087344
