PROVINCIA,DEPARTAMENTO,AÑO,RENDIMIENTO - KG X HA
Santa Fe,San Jerónimo,1990,1951.0
Santa Fe,San Justo,1990,2000.0
Santa Fe,San Lorenzo,1990,2301.0
Santa Fe,San Martín,1990,1950.0
Santa Fe,Vera,1990,2045.0
Santa Fe,Villa Constitución,1990,2300.0
Buenos Aires,25 de Mayo,1991,2300.0
Buenos Aires,9 de Julio,1991,2800.0
Buenos Aires,Adolfo Alsina,1991,1750.0
Buenos Aires,Adolfo Gonzales Chaves,1991,2422.0
Buenos Aires,Alberti,1991,2800.0
Buenos Aires,Arrecifes,1991,1902.0
Buenos Aires,Ayacucho,1991,1800.0
Buenos Aires,Azul,1991,2400.0
Buenos Aires,Bahía Blanca,1991,1400.0
Buenos Aires,Balcarce,1991,2301.0
Buenos Aires,Baradero,1991,2103.0
Buenos Aires,Benito Juárez,1991,2398.0
Buenos Aires,Bolívar,1991,2000.0
Buenos Aires,Bragado,1991,2800.0
Buenos Aires,Campana,1991,2000.0
Buenos Aires,Cañuelas,1991,2182.0
Buenos Aires,Capitán Sarmiento,1991,1897.0
Buenos Aires,Carlos Casares,1991,2601.0
Buenos Aires,Carlos Tejedor,1991,2100.0
Buenos Aires,Carmen de Areco,1991,2000.0
Buenos Aires,Castelli,1991,1615.0
Buenos Aires,Chacabuco,1991,2000.0
Buenos Aires,Chascomús,1991,2200.0
Buenos Aires,Chivilcoy,1991,2800.0
Buenos Aires,Colón,1991,2050.0
Buenos Aires,Coronel de Marina Leonardo Rosales,1991,1400.0
Buenos Aires,Coronel Dorrego,1991,2125.0
Buenos Aires,Coronel Pringles,1991,2100.0
Buenos Aires,Coronel Suárez,1991,2400.0
Buenos Aires,Daireaux,1991,2200.0
Buenos Aires,Exaltación de la Cruz,1991,1889.0
Buenos Aires,General Alvarado,1991,2309.0
Buenos Aires,General Alvear,1991,2111.0
Buenos Aires,General Arenales,1991,2000.0
Buenos Aires,General Belgrano,1991,2310.0
Buenos Aires,General Juan Madariaga,1991,1545.0
Buenos Aires,General La Madrid,1991,2000.0
Buenos Aires,General Pinto,1991,2500.0
Buenos Aires,General Pueyrredón,1991,2400.0
Buenos Aires,General Viamonte,1991,2500.0
Buenos Aires,General Villegas,1991,2501.0
Buenos Aires,Guaminí,1991,1800.0
Buenos Aires,Hipólito Yrigoyen,1991,1900.0
Buenos Aires,Junín,1991,2000.0
Buenos Aires,Laprida,1991,2200.0
Buenos Aires,Las Flores,1991,2231.0
Buenos Aires,Leandro N. Alem,1991,2397.0
Buenos Aires,Lincoln,1991,2500.0
Buenos Aires,Lobería,1991,2405.0
Buenos Aires,Lobos,1991,2309.0
Buenos Aires,Luján,1991,2000.0
Buenos Aires,Maipú,1991,1556.0
Buenos Aires,Mar Chiquita,1991,1595.0
Buenos Aires,Mercedes,1991,2800.0
Buenos Aires,Monte,1991,2308.0
Buenos Aires,Navarro,1991,2306.0
Buenos Aires,Necochea,1991,3322.0
Buenos Aires,Olavarría,1991,1900.0
Buenos Aires,Patagones,1991,1100.0
Buenos Aires,Pehuajó,1991,2400.0
Buenos Aires,Pellegrini,1991,1800.0
Buenos Aires,Pergamino,1991,2101.0
Buenos Aires,Pila,1991,1556.0
Buenos Aires,Puán,1991,1800.0
Buenos Aires,Ramallo,1991,2093.0
Buenos Aires,Rauch,1991,1702.0
Buenos Aires,Rivadavia,1991,2099.0
Buenos Aires,Rojas,1991,2000.0
Buenos Aires,Roque Pérez,1991,2200.0
Buenos Aires,Saavedra,1991,2000.0
Buenos Aires,Saladillo,1991,2196.0
Buenos Aires,Salliqueló,1991,2000.0
Buenos Aires,Salto,1991,2152.0
Buenos Aires,San Andrés de Giles,1991,2000.0
Buenos Aires,San Antonio de Areco,1991,1789.0
Buenos Aires,San Cayetano,1991,2522.0
Buenos Aires,San Nicolás,1991,2000.0
Buenos Aires,San Pedro,1991,2192.0
Buenos Aires,Suipacha,1991,2800.0
Buenos Aires,Tandil,1991,2400.0
Buenos Aires,Tapalqué,1991,2000.0
Buenos Aires,Tornquist,1991,1800.0
Buenos Aires,Trenque Lauquen,1991,2000.0
Buenos Aires,Tres Arroyos,1991,2735.0
Buenos Aires,Villarino,1991,1300.0
Buenos Aires,Zárate,1991,1917.0
Córdoba,Calamuchita,1991,2106.0
Córdoba,Capital,1991,2250.0
Córdoba,Colón,1991,1200.0
Córdoba,General Roca,1991,2200.0
Córdoba,General San Martín,1991,2600.0
Córdoba,Juárez Celman,1991,2000.0
Córdoba,Marcos Juárez,1991,2460.0
Córdoba,Presidente Roque Sáenz Peña,1991,2200.0
Córdoba,Río Cuarto,1991,2000.0
Córdoba,Río Primero,1991,1800.0
Córdoba,Río Segundo,1991,2600.0
Córdoba,San Justo,1991,2600.0
Córdoba,Santa María,1991,2102.0
Córdoba,Tercero Arriba,1991,2301.0
Córdoba,Totoral,1991,1571.0
Córdoba,Unión,1991,2500.0
Entre Ríos,Colón,1991,1600.0
Entre Ríos,Diamante,1991,1700.0
Entre Ríos,Gualeguay,1991,1906.0
Entre Ríos,Gualeguaychú,1991,1222.0
Entre Ríos,La Paz,1991,1400.0
Entre Ríos,Nogoyá,1991,1500.0
Entre Ríos,Paraná,1991,1600.0
Entre Ríos,Tala,1991,1200.0
Entre Ríos,Uruguay,1991,1200.0
Entre Ríos,Victoria,1991,1898.0
Entre Ríos,Villaguay,1991,1200.0
La Pampa,Atreucó,1991,1700.0
La Pampa,Caleu Caleu,1991,1800.0
La Pampa,Capital,1991,1800.0
La Pampa,Catriló,1991,1700.0
La Pampa,Chapaleufú,1991,2200.0
La Pampa,Conhelo,1991,2200.0
La Pampa,Guatraché,1991,2000.0
La Pampa,Hucal,1991,1901.0
La Pampa,Loventué,1991,1733.0
La Pampa,Maracó,1991,2100.0
La Pampa,Quemú Quemú,1991,2100.0
La Pampa,Rancul,1991,2103.0
La Pampa,Realicó,1991,2000.0
La Pampa,Toay,1991,1700.0
La Pampa,Trenel,1991,2300.0
La Pampa,Utracán,1991,1800.0
Santa Fe,9 de Julio,1991,2000.0
Santa Fe,Belgrano,1991,2500.0
Santa Fe,Caseros,1991,2101.0
Santa Fe,Castellanos,1991,2900.0
Santa Fe,General López,1991,2200.0
Santa Fe,General Obligado,1991,1700.0
Santa Fe,Iriondo,1991,2300.0
Santa Fe,La Capital,1991,2600.0
Santa Fe,Las Colonias,1991,2800.0
Santa Fe,Rosario,1991,2031.0
Santa Fe,San Cristóbal,1991,2533.0
Santa Fe,San Javier,1991,1364.0
Santa Fe,San Jerónimo,1991,2500.0
Santa Fe,San Justo,1991,2108.0
Santa Fe,San Lorenzo,1991,2200.0
Santa Fe,San Martín,1991,2600.0
Santa Fe,Vera,1991,1400.0
Santa Fe,Villa Constitución,1991,2052.0
Buenos Aires,25 de Mayo,1992,2601.0
Buenos Aires,9 de Julio,1992,2900.0
Buenos Aires,Adolfo Alsina,1992,1399.0
Buenos Aires,Adolfo Gonzales Chaves,1992,2831.0
Buenos Aires,Alberti,1992,2900.0
Buenos Aires,Arrecifes,1992,2550.0
Buenos Aires,Ayacucho,1992,1912.0
Buenos Aires,Azul,1992,2600.0
Buenos Aires,Bahía Blanca,1992,2000.0
Buenos Aires,Balcarce,1992,2600.0
Buenos Aires,Baradero,1992,2700.0
Buenos Aires,Benito Juárez,1992,2406.0
Buenos Aires,Bolívar,1992,2403.0
Buenos Aires,Bragado,1992,2900.0
Buenos Aires,Campana,1992,2250.0
Buenos Aires,Cañuelas,1992,2389.0
Buenos Aires,Capitán Sarmiento,1992,2400.0
Buenos Aires,Carlos Casares,1992,2801.0
Buenos Aires,Carlos Tejedor,1992,1503.0
Buenos Aires,Carmen de Areco,1992,3000.0
Buenos Aires,Castelli,1992,1667.0
Buenos Aires,Chacabuco,1992,2950.0
Buenos Aires,Chascomús,1992,2600.0
Buenos Aires,Chivilcoy,1992,2900.0
Buenos Aires,Colón,1992,3000.0
Buenos Aires,Coronel de Marina Leonardo Rosales,1992,1502.0
Buenos Aires,Coronel Dorrego,1992,2400.0
Buenos Aires,Coronel Pringles,1992,2394.0
Buenos Aires,Coronel Suárez,1992,2100.0
Buenos Aires,Daireaux,1992,2201.0
Buenos Aires,Exaltación de la Cruz,1992,2333.0
Buenos Aires,General Alvarado,1992,2406.0
Buenos Aires,General Alvear,1992,2286.0
Buenos Aires,General Arenales,1992,3000.0
Buenos Aires,General Belgrano,1992,2500.0
Buenos Aires,General Juan Madariaga,1992,1667.0
Buenos Aires,General La Madrid,1992,2000.0
Buenos Aires,General Pinto,1992,2600.0
Buenos Aires,General Pueyrredón,1992,2452.0
Buenos Aires,General Viamonte,1992,2700.0
Buenos Aires,General Villegas,1992,2101.0
Buenos Aires,Guaminí,1992,1399.0
Buenos Aires,Hipólito Yrigoyen,1992,2510.0
Buenos Aires,Junín,1992,3000.0
Buenos Aires,Laprida,1992,2400.0
Buenos Aires,Las Flores,1992,2200.0
Buenos Aires,Leandro N. Alem,1992,2700.0
Buenos Aires,Lincoln,1992,2600.0
Buenos Aires,Lobería,1992,2601.0
Buenos Aires,Lobos,1992,2500.0
Buenos Aires,Luján,1992,2907.0
Buenos Aires,Maipú,1992,1556.0
Buenos Aires,Mar Chiquita,1992,1605.0
Buenos Aires,Mercedes,1992,2900.0
Buenos Aires,Monte,1992,2381.0
Buenos Aires,Navarro,1992,2500.0
Buenos Aires,Necochea,1992,3520.0
Buenos Aires,Olavarría,1992,2802.0
Buenos Aires,Patagones,1992,1800.0
Buenos Aires,Pehuajó,1992,2599.0
Buenos Aires,Pellegrini,1992,1504.0
Buenos Aires,Pergamino,1992,2701.0
Buenos Aires,Pila,1992,1625.0
Buenos Aires,Puán,1992,1601.0
Buenos Aires,Ramallo,1992,2600.0
Buenos Aires,Rauch,1992,1895.0
Buenos Aires,Rivadavia,1992,1902.0
Buenos Aires,Rojas,1992,3049.0
Buenos Aires,Roque Pérez,1992,2208.0
Buenos Aires,Saavedra,1992,1601.0
Buenos Aires,Saladillo,1992,2200.0
Buenos Aires,Salliqueló,1992,1111.0
Buenos Aires,Salto,1992,2700.0
Buenos Aires,San Andrés de Giles,1992,3055.0
Buenos Aires,San Antonio de Areco,1992,2350.0
Buenos Aires,San Cayetano,1992,2828.0
Buenos Aires,San Nicolás,1992,2600.0
Buenos Aires,San Pedro,1992,2650.0
Buenos Aires,Suipacha,1992,2900.0
Buenos Aires,Tandil,1992,2600.0
Buenos Aires,Tapalqué,1992,2000.0
Buenos Aires,Tornquist,1992,1600.0
Buenos Aires,Trenque Lauquen,1992,2100.0
Buenos Aires,Tres Arroyos,1992,3300.0
Buenos Aires,Villarino,1992,900.0
Buenos Aires,Zárate,1992,2231.0
Córdoba,Calamuchita,1992,1520.0
Córdoba,Capital,1992,2286.0
Córdoba,Colón,1992,2500.0
Córdoba,General Roca,1992,1700.0
Córdoba,General San Martín,1992,1701.0
Córdoba,Juárez Celman,1992,1502.0
Córdoba,Marcos Juárez,1992,2600.0
Córdoba,Presidente Roque Sáenz Peña,1992,1700.0
Córdoba,Río Cuarto,1992,1504.0
Córdoba,Río Primero,1992,2500.0
Córdoba,Río Segundo,1992,3000.0
Córdoba,San Justo,1992,2900.0
Córdoba,Santa María,1992,1900.0
Córdoba,Tercero Arriba,1992,2300.0
Córdoba,Totoral,1992,2400.0
Córdoba,Unión,1992,2301.0
Entre Ríos,Colón,1992,1800.0
Entre Ríos,Concordia,1992,1667.0
Entre Ríos,Diamante,1992,2601.0
Entre Ríos,Federal,1992,2000.0
Entre Ríos,Gualeguay,1992,2900.0
Entre Ríos,Gualeguaychú,1992,1500.0
