PROVINCIA,DEPARTAMENTO,AÑO,RENDIMIENTO - KG X HA,STATION_ID,lluvia_emergencia,lluvia_encanazon,lluvia_espigazon,lluvia_floracion,lluvia_llenado_de_grano,lluvia_macollaje,lluvia_siembra,tmax_emergencia,tmax_encanazon,tmax_espigazon,tmax_floracion,tmax_llenado_de_grano,tmax_macollaje,tmax_siembra,tmin_emergencia,tmin_encanazon,tmin_espigazon,tmin_floracion,tmin_llenado_de_grano,tmin_macollaje,tmin_siembra
Buenos Aires,Exaltación de la Cruz,1990,2000.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,General Alvarado,1990,1907.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,General Alvear,1990,1906.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,General Arenales,1990,2400.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,General Belgrano,1990,2000.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,General Juan Madariaga,1990,2000.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,General La Madrid,1990,2200.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,General Pinto,1990,2350.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,General Pueyrredón,1990,2295.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,General Viamonte,1990,2250.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,General Villegas,1990,2200.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,Guaminí,1990,2200.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,Hipólito Yrigoyen,1990,2300.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,Junín,1990,2501.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,Laprida,1990,1250.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,Las Flores,1990,1906.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
Buenos Aires,Leandro N. Alem,1990,2450.0,AR000087692,145.4,34.09,11.33,16.63,58.41,29.93,1.56,35.652941176470584,44.7875,45.2,46.70555555555556,50.2225,36.60333333333333,34.9925,20.639215686274508,28.2075,30.60454545454545,25.76111111111111,32.555,23.296666666666667,22.37
