provincia,new_ncart,simbc,tipo_uc,limit_ppal,limit_secu,limit_terc,ind_prod,porc_sue1,posi_sue1,orden_sue1,ggrup_sue1,sgrup_sue1,text_sups1,text_bs1,drenaje_s1,profund_s1,alcalin_s1,porc_pens1,erhidr_s1,ereoli_s1,rocos_s1,anegab_s1,porc_sue2,posi_sue2,orden_sue2,ggrup_sue2,sgrup_sue2,porc_sue3,posi_sue3,orden_sue3,ggrup_sue3,sgrup_sue3,ogc_fid
SALTA,16039.0,EPtc-16,Complejo,Pendientes,Prof.Efectiva somera,-,6.0,40.0,Pendiente escarpada,Entisoles,Ustortentes,Ustortentes tipico,Areno-gravillosa,Areno-gravosa,Excesivo,100.0,No sodico,5.0,Ligera,-,Interfiere labra,-,30.0,Pendiente escarpada,Molisoles,Haplustoles,Haplustoles litico,20.0,,Molisoles,Argiustoles,Argiustoles udico,1896.0
SALTA,16018.0,DGtc-7,Asociacion,Climatica,Erosion hidrica actu,Pedregosidad,29.0,50.0,Llanura extendida,Aridisoles,Cambortides,Cambortides tipico,Areno franca,Franco arenosa,Bien drenado,80.0,No sodico,3.0,-,-,Interfiere labra,-,25.0,Llanura extendida,Entisoles,Torrifluventes,Torrifluventes tapto argico,25.0,Llanura extendida,Entisoles,Torriortentes,Torriortentes tapto argico,1887.0
SALTA,16051.0,MKtc-9,Asociacion,Climatica,-,-,55.0,60.0,Explanadas,Molisoles,Argiustoles,Argiustoles entico,Franca,Franco arcillosa,Bien drenado,100.0,No sodico,60.0,-,-,-,-,40.0,Explanadas,Molisoles,Haplustoles,Haplustoles entico,0.0,,,,,1888.0
SALTA,16035.0,ENtc-22,Complejo,Pedregosidad,Pendientes,-,25.0,60.0,Ladera escarpada,Entisoles,Torriortentes,Torriortentes tipico,Areno-gravillosa,Areno-gravosa,Excesivo,100.0,No sodico,2.0,Ligera,-,Interfiere labra,-,40.0,Pendiente baja,Aridisoles,Cambortides,Cambortides tipico,0.0,,,,,1889.0
RIO NEGRO,15060.0,DFtc-10,Complejo,Erosion eolica actua,Erosion hidrica actu,Baja retenc humedad,14.0,50.0,Loma,Aridisoles,Calciortides,Calciortides tipico,Areno franca,Areno-franca,Algo Excesivo,100.0,Moderada,3.0,Moderada,Moderada,-,-,30.0,Pendiente,Aridisoles,Paleoargides,Paleoargides petrocalcico,20.0,Media Loma Alta,Aridisoles,Paleortides,Paleortides tipico,2478.0
SALTA,2003.0,DEtc-1,Asociacion,Climatica,Erosion hidrica actu,-,28.0,70.0,Sector medio y superior de cono,Aridisoles,Paleoargides,Paleoargides tipico,Franco arenosa,Arcillosa,Imperfecto,100.0,Debil,3.0,Moderada,-,Interfiere labra,-,30.0,Sector medio y superior de cono,Aridisoles,Paleoargides,Paleoargides petrocalcico,0.0,,,,,1890.0
SALTA,16007.0,MKud-27,Complejo,Erosion hidrica actu,-,-,56.0,70.0,Llanura extendida,Molisoles,Argiustoles,Argiustoles udico,Franca,Franco arcillosa,Bien drenado,100.0,No sodico,5.0,Ligera,-,-,-,30.0,V?a de escurrimiento,Entisoles,Ustifluventes,Ustifluventes tipico,0.0,,,,,1891.0
SALTA,16039.0,EPtc-16,Complejo,Pendientes,Prof.Efectiva somera,-,6.0,40.0,Pendiente escarpada,Entisoles,Ustortentes,Ustortentes tipico,Areno-gravillosa,Areno-gravosa,Excesivo,100.0,No sodico,5.0,Ligera,-,Interfiere labra,-,30.0,Pendiente escarpada,Molisoles,Haplustoles,Haplustoles litico,20.0,,Molisoles,Argiustoles,Argiustoles udico,1892.0
SALTA,16069.0,MNtc-16,Asociacion,Erosion hidrica actu,-,-,65.0,50.0,Llanura extendida,Molisoles,Haplustoles,Haplustoles entico,Franca,Franco arcillo limos,Bien drenado,105.0,No sodico,3.0,Moderada,-,-,-,30.0,Llanura extendida,Molisoles,Argiustoles,Argiustoles entico,20.0,,Entisoles,Ustifluventes,Ustifluventes tipico,1893.0
SALTA,16007.0,MKud-27,Complejo,Erosion hidrica actu,-,-,56.0,70.0,Llanura extendida,Molisoles,Argiustoles,Argiustoles udico,Franca,Franco arcillosa,Bien drenado,100.0,No sodico,5.0,Ligera,-,-,-,30.0,V?a de escurrimiento,Entisoles,Ustifluventes,Ustifluventes tipico,0.0,,,,,1894.0
SALTA,16020.0,EItc-1,Asociacion,Climatica,-,-,71.0,70.0,V?a de escurrimiento,Entisoles,Torrifluventes,Torrifluventes tipico,Arenosa,Arenosa,Bien drenado,80.0,No sodico,2.0,Ligera,Ligera,Interfiere labra,-,30.0,Llanura extendida,Aridisoles,Cambortides,Cambortides tipico,0.0,,,,,1895.0
